idx_a,idx_b,label,score,label_a,label_b
97,30,0,0.47645819187164307,Van_Tu,Anh_Tu
2,49,1,0.9791610836982727,Anh_Tu,Anh_Tu
17,47,1,0.5002006888389587,Anh_Tu,Anh_Tu
79,5,0,0.47180718183517456,Van_Tu,Anh_Tu
22,90,0,0.684065043926239,Anh_Tu,Van_Tu
62,29,0,0.497549831867218,Van_Tu,Anh_Tu
8,38,1,0.6673091053962708,Anh_Tu,Anh_Tu
9,35,1,0.8237104415893555,Anh_Tu,Anh_Tu
68,97,1,0.8841295838356018,Van_Tu,Van_Tu
72,7,0,0.5239333510398865,Van_Tu,Anh_Tu
36,37,1,0.6741253137588501,Anh_Tu,Anh_Tu
76,48,0,0.6665552854537964,Van_Tu,Anh_Tu
70,21,0,0.613670825958252,Van_Tu,Anh_Tu
76,99,1,0.7964746952056885,Van_Tu,Van_Tu
10,70,0,0.5943424105644226,Anh_Tu,Van_Tu
42,43,1,0.823540985584259,Anh_Tu,Anh_Tu
58,82,1,0.8926995396614075,Van_Tu,Van_Tu
91,31,0,0.581863284111023,Van_Tu,Anh_Tu
2,23,1,0.8161429762840271,Anh_Tu,Anh_Tu
44,66,0,0.3703121542930603,Anh_Tu,Van_Tu
91,22,0,0.5626475811004639,Van_Tu,Anh_Tu
25,34,1,0.655301034450531,Anh_Tu,Anh_Tu
40,95,0,0.3989180326461792,Anh_Tu,Van_Tu
81,94,1,0.6011519432067871,Van_Tu,Van_Tu
64,78,1,0.6257201433181763,Van_Tu,Van_Tu
80,38,0,0.5778002738952637,Van_Tu,Anh_Tu
70,29,0,0.5018442273139954,Van_Tu,Anh_Tu
57,89,1,0.6786060929298401,Van_Tu,Van_Tu
18,31,1,0.8337993025779724,Anh_Tu,Anh_Tu
98,31,0,0.47397780418395996,Van_Tu,Anh_Tu
76,5,0,0.5260607004165649,Van_Tu,Anh_Tu
59,73,1,0.9066940546035767,Van_Tu,Van_Tu
16,36,1,0.880237877368927,Anh_Tu,Anh_Tu
54,87,1,0.8403074145317078,Van_Tu,Van_Tu
69,88,1,0.9470081329345703,Van_Tu,Van_Tu
28,36,1,0.7792203426361084,Anh_Tu,Anh_Tu
79,81,1,0.9742191433906555,Van_Tu,Van_Tu
56,78,1,0.8353729844093323,Van_Tu,Van_Tu
6,24,1,0.8229339122772217,Anh_Tu,Anh_Tu
87,19,0,0.44174227118492126,Van_Tu,Anh_Tu
10,38,1,0.9664903283119202,Anh_Tu,Anh_Tu
89,17,0,0.30983901023864746,Van_Tu,Anh_Tu
56,87,1,0.7609091401100159,Van_Tu,Van_Tu
27,33,1,0.6149472594261169,Anh_Tu,Anh_Tu
10,15,1,0.8958197236061096,Anh_Tu,Anh_Tu
2,7,1,0.9861550331115723,Anh_Tu,Anh_Tu
29,60,0,0.5141865015029907,Anh_Tu,Van_Tu
83,25,0,0.22190271317958832,Van_Tu,Anh_Tu
81,99,1,0.9420003294944763,Van_Tu,Van_Tu
