idx_a,idx_b,label,score,label_a,label_b
97,30,0,0.30843037366867065,Van_Tu,Anh_Tu
2,49,1,0.9792382717132568,Anh_Tu,Anh_Tu
17,47,1,0.7555287480354309,Anh_Tu,Anh_Tu
79,5,0,0.36243540048599243,Van_Tu,Anh_Tu
22,90,0,0.3330478072166443,Anh_Tu,Van_Tu
62,29,0,0.2796274423599243,Van_Tu,Anh_Tu
8,38,1,0.8395146131515503,Anh_Tu,Anh_Tu
9,35,1,0.945061206817627,Anh_Tu,Anh_Tu
68,97,1,0.8911823034286499,Van_Tu,Van_Tu
72,7,0,0.3294900059700012,Van_Tu,Anh_Tu
36,37,1,0.8448728322982788,Anh_Tu,Anh_Tu
76,48,0,0.3006870150566101,Van_Tu,Anh_Tu
70,21,0,0.3119320869445801,Van_Tu,Anh_Tu
76,99,1,0.9260636568069458,Van_Tu,Van_Tu
10,70,0,0.3206942081451416,Anh_Tu,Van_Tu
42,43,1,0.9038127660751343,Anh_Tu,Anh_Tu
58,82,1,0.9391733407974243,Van_Tu,Van_Tu
91,31,0,0.3234144449234009,Van_Tu,Anh_Tu
2,23,1,0.942659854888916,Anh_Tu,Anh_Tu
44,66,0,0.255115270614624,Anh_Tu,Van_Tu
91,22,0,0.3401414752006531,Van_Tu,Anh_Tu
25,34,1,0.7893644571304321,Anh_Tu,Anh_Tu
40,95,0,0.19025932252407074,Anh_Tu,Van_Tu
81,94,1,0.7186700105667114,Van_Tu,Van_Tu
64,78,1,0.7917096018791199,Van_Tu,Van_Tu
80,38,0,0.2952997386455536,Van_Tu,Anh_Tu
70,29,0,0.2573312819004059,Van_Tu,Anh_Tu
57,89,1,0.9278690218925476,Van_Tu,Van_Tu
18,31,1,0.9525845050811768,Anh_Tu,Anh_Tu
98,31,0,0.2899226248264313,Van_Tu,Anh_Tu
76,5,0,0.32621270418167114,Van_Tu,Anh_Tu
59,73,1,0.9580657482147217,Van_Tu,Van_Tu
16,36,1,0.8872826099395752,Anh_Tu,Anh_Tu
54,87,1,0.9258313775062561,Van_Tu,Van_Tu
69,88,1,0.9497418999671936,Van_Tu,Van_Tu
28,36,1,0.8620018362998962,Anh_Tu,Anh_Tu
79,81,1,0.973778486251831,Van_Tu,Van_Tu
56,78,1,0.8108413219451904,Van_Tu,Van_Tu
6,24,1,0.8780783414840698,Anh_Tu,Anh_Tu
87,19,0,0.2825976014137268,Van_Tu,Anh_Tu
10,38,1,0.9649133086204529,Anh_Tu,Anh_Tu
89,17,0,0.3177812993526459,Van_Tu,Anh_Tu
56,87,1,0.7512884140014648,Van_Tu,Van_Tu
27,33,1,0.7616433501243591,Anh_Tu,Anh_Tu
10,15,1,0.9393008351325989,Anh_Tu,Anh_Tu
2,7,1,0.9836212396621704,Anh_Tu,Anh_Tu
29,60,0,0.2880648076534271,Anh_Tu,Van_Tu
83,25,0,0.3106137216091156,Van_Tu,Anh_Tu
81,99,1,0.9550321102142334,Van_Tu,Van_Tu
40,48,1,0.9829073548316956,Anh_Tu,Anh_Tu
1,86,0,0.3649582266807556,Anh_Tu,Van_Tu
87,48,0,0.32140523195266724,Van_Tu,Anh_Tu
19,80,0,0.35683414340019226,Anh_Tu,Van_Tu
